node_id,node_name,field_ordinal,field_alias,expression,source_table,source_field,is_computed
42,Часть_11,0,НомерСчета,уп_СостоянияПС.НомерСчета,уп_СостоянияПС,НомерСчета,false
43,ВТ_ПенсионныеСчета,0,ПенсионныйСчет,ВТ_ПенсионныеСчета_ПР.ПенсионныйСчет,ВТ_ПенсионныеСчета_ПР,ПенсионныйСчет,false
44,Часть_1,0,ПенсионныйСчет,ВТ_ПенсионныеСчета_ПР.ПенсионныйСчет,ВТ_ПенсионныеСчета_ПР,ПенсионныйСчет,false
45,Часть_2,0,ПенсионныйСчет,ВТ_ПенсионныеСчета_ПР.ПенсионныйСчет.Владелец.ПенсионныйСчет,ВТ_ПенсионныеСчета_ПР,ПенсионныйСчет,false
46,ВТ_ПричиныЗакрытия,0,ПенсионныйСчет,уп_ПричиныЗакрытияПССрезПоследних.НомерСчета,уп_ПричиныЗакрытияПССрезПоследних,НомерСчета,false
46,ВТ_ПричиныЗакрытия,1,ПричинаЗакрытия,уп_ПричиныЗакрытияПССрезПоследних.ПричинаЗакрытия,уп_ПричиныЗакрытияПССрезПоследних,ПричинаЗакрытия,false
46,ВТ_ПричиныЗакрытия,2,ИнициативаУчастника,"ВЫБОР
		КОГДА уп_ПричиныЗакрытияПССрезПоследних.Регистратор ССЫЛКА Документ.уп_ЗакрытиеСчетов
			ТОГДА ИСТИНА
		КОГДА уп_ПричиныЗакрытияПССрезПоследних.НомерСчета = уп_ПричиныЗакрытияПССрезПоследних.НомерСчета.Владелец.ПенсионныйСчет
			ТОГДА ИСТИНА
		ИНАЧЕ ЛОЖЬ
	КОНЕЦ",,,true
47,Подзапрос_7,0,ПенсионныйСчет,ВТ_ПенсионныеСчета.ПенсионныйСчет,ВТ_ПенсионныеСчета,ПенсионныйСчет,false
48,ВТ_ВидыПенсионныхСчетов,0,ПенсионныйСчет,уп_ВидПенсионногоСчетаСрезПоследних.НомерСчета,уп_ВидПенсионногоСчетаСрезПоследних,НомерСчета,false
48,ВТ_ВидыПенсионныхСчетов,1,ВидПенсионногоСчета,уп_ВидПенсионногоСчетаСрезПоследних.ВидПенсионногоСчета,уп_ВидПенсионногоСчетаСрезПоследних,ВидПенсионногоСчета,false
49,Подзапрос_8,0,ПенсионныйСчет,ВТ_ПенсионныеСчета.ПенсионныйСчет,ВТ_ПенсионныеСчета,ПенсионныйСчет,false
50,ВТ_ПенсионныеСчетаРПВ,0,ПенсионныйСчет,Резервы.НомерСчета,Резервы,НомерСчета,false
51,Подзапрос_9,0,ПенсионныйСчет,ВТ_ПенсионныеСчета.ПенсионныйСчет,ВТ_ПенсионныеСчета,ПенсионныйСчет,false
52,ВТ_ТипыПенсийНачалоПериода,0,НомерСчета,уп_СхемаСчетаНаНачало.НомерСчета,уп_СхемаСчетаНаНачало,НомерСчета,false
52,ВТ_ТипыПенсийНачалоПериода,1,ТипПенсии,"ВЫБОР
		КОГДА уп_СхемаСчетаНаНачало.ТипПенсии = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.ПустаяСсылка) 
			ТОГДА уп_СхемаСчетаНаНачало.Схема.ТипПенсионнойСхемы
		ИНАЧЕ уп_СхемаСчетаНаНачало.ТипПенсии
	КОНЕЦ",,,true
53,Подзапрос_10,0,ПенсионныйСчет,ПенсионныйСчет,,ПенсионныйСчет,false
54,ВТ_ВыплатныеНачалоПериода,0,Период,уп_СостоянияПССрезПервых.Период,уп_СостоянияПССрезПервых,Период,false
54,ВТ_ВыплатныеНачалоПериода,1,Состояние,уп_СостоянияПССрезПервых.Состояние,уп_СостоянияПССрезПервых,Состояние,false
54,ВТ_ВыплатныеНачалоПериода,2,НомерСчета,уп_СостоянияПССрезПервых.НомерСчета,уп_СостоянияПССрезПервых,НомерСчета,false
54,ВТ_ВыплатныеНачалоПериода,3,ТипПенсии,ВТ_ТипыПенсийНачалоПериода.ТипПенсии,ВТ_ТипыПенсийНачалоПериода,ТипПенсии,false
54,ВТ_ВыплатныеНачалоПериода,4,ВидОбязательств,"ВЫБОР
		КОГДА ВТ_ТипыПенсийНачалоПериода.ТипПенсии = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.ПожизненныхВыплат)
			ТОГДА ""ОНПП""
		КОГДА ВТ_ТипыПенсийНачалоПериода.ТипПенсии = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.СрочныхВыплат)
			ТОГДА ""ОНСП""
		КОГДА ВТ_ТипыПенсийНачалоПериода.ТипПенсии = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.ДоИсчерпанияСредствНаСчете)
			ТОГДА ""ОНИП""
	КОНЕЦ",,,true
55,Подзапрос_11,0,ПенсионныйСчет,ПенсионныйСчет,,ПенсионныйСчет,false
56,ВТ_СостояниеНачалоПериода,0,Период,"ВЫБОР
		КОГДА ВТ_ПенсионныеСчета.ПенсионныйСчет.ТипПенсионногоСчета В (ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.ПенсионныйСчетДоговора),
		                                                       			ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.СолидарныйПенсионныйСчет))
			ТОГДА &НачалоПериода
		ИНАЧЕ уп_СостоянияПССрезПоследних.Период
    КОНЕЦ",,,true
56,ВТ_СостояниеНачалоПериода,1,Состояние,уп_СостоянияПССрезПоследних.Состояние,уп_СостоянияПССрезПоследних,Состояние,false
56,ВТ_СостояниеНачалоПериода,2,НомерСчета,ВТ_ПенсионныеСчета.ПенсионныйСчет,ВТ_ПенсионныеСчета,ПенсионныйСчет,false
56,ВТ_СостояниеНачалоПериода,3,ВидОбязательств,"ВЫБОР
		КОГДА ВТ_ПенсионныеСчета.ПенсионныйСчет.ТипПенсионногоСчета = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.ПенсионныйСчетУчастника)
			ТОГДА ВЫБОР
					КОГДА уп_СостоянияПССрезПоследних.Состояние = ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.НакопительныйПериод)
						ТОГДА ""ОДНП""
					КОГДА уп_СостоянияПССрезПоследних.Состояние В (ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.ВыплатнойПериод), ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.НачисленияПриостановлены), ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.ВыплатыПриостановлены))
						ТОГДА ВЫБОР
								КОГДА ВТ_ТипыПенсийНачалоПериода.ТипПенсии = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.ПожизненныхВыплат)
									ТОГДА ""ОНПП""
								КОГДА ВТ_ТипыПенсийНачалоПериода.ТипПенсии = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.СрочныхВыплат)
									ТОГДА ""ОНСП""
								КОГДА ВТ_ТипыПенсийНачалоПериода.ТипПенсии = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.ДоИсчерпанияСредствНаСчете)
									ТОГДА ""ОНИП""
							КОНЕЦ
					КОГДА уп_СостоянияПССрезПоследних.Состояние В (ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.Закрыт), ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.ПодготовкаКЗакрытию))
                    	ТОГДА ""ПНПО""
					
					ИНАЧЕ NULL
				КОНЕЦ
		КОГДА ВТ_ПенсионныеСчета.ПенсионныйСчет.ТипПенсионногоСчета = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.ПенсионныйСчетДоговора)
			ТОГДА ""ПНПО""
		КОГДА ВТ_ПенсионныеСчета.ПенсионныйСчет.ТипПенсионногоСчета = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.СолидарныйПенсионныйСчет)
			ТОГДА ""ОСПС""
		ИНАЧЕ NULL
	КОНЕЦ",,,true
57,Подзапрос_12,0,ПенсионныйСчет,ПенсионныйСчет,,ПенсионныйСчет,false
58,ВТ_ВидОбязательствНачало,0,ПенсионныйСчет,ВТ_ПенсионныеСчета.ПенсионныйСчет,ВТ_ПенсионныеСчета,ПенсионныйСчет,false
58,ВТ_ВидОбязательствНачало,1,ВидОбязательствВход,"ВЫБОР
		КОГДА ВТ_СостояниеНачалоПериода.Состояние В (ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.Закрыт), ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.ПодготовкаКЗакрытию))
			ТОГДА ВТ_СостояниеНачалоПериода.ВидОбязательств
		КОГДА ВТ_ВыплатныеНачалоПериода.Состояние = ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.ВыплатнойПериод)
			ТОГДА ВТ_ВыплатныеНачалоПериода.ВидОбязательств
		ИНАЧЕ ВТ_СостояниеНачалоПериода.ВидОбязательств
	КОНЕЦ",,,true
58,ВТ_ВидОбязательствНачало,2,ДатаОпределенияОбязательств,"ВЫБОР
		КОГДА ВТ_СостояниеНачалоПериода.Состояние В (ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.Закрыт), ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.ПодготовкаКЗакрытию))
			ТОГДА &НачалоПериода
		КОГДА ВТ_ВыплатныеНачалоПериода.Состояние = ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.ВыплатнойПериод)
			ТОГДА &НачалоПериода
		ИНАЧЕ ВТ_СостояниеНачалоПериода.Период 
	КОНЕЦ",,,true
59,ВТ_ИзмененияВидаОбязательств_Предв,0,ПенсионныйСчет,ВТ_ПенсионныеСчета.ПенсионныйСчет,ВТ_ПенсионныеСчета,ПенсионныйСчет,false
59,ВТ_ИзмененияВидаОбязательств_Предв,1,Период,"ВЫБОР
		КОГДА ВТ_ПенсионныеСчета.ПенсионныйСчет.ТипПенсионногоСчета В (ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.ПенсионныйСчетДоговора),
		                                                       			ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.СолидарныйПенсионныйСчет))
			ТОГДА &НачалоПериода
		КОГДА ВТ_ПенсионныеСчета.ПенсионныйСчет.ТипПенсионногоСчета = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.ПенсионныйСчетУчастника)
				И уп_СостоянияПС.Состояние В (ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.ВыплатнойПериод), ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.НачисленияПриостановлены), ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.ВыплатыПриостановлены))
			ТОГДА 
				ВЫБОР 
					КОГДА уп_СхемаСчета.Период < уп_СостоянияПС.Период
						ТОГДА уп_СостоянияПС.Период
					ИНАЧЕ уп_СхемаСчета.Период
				КОНЕЦ 		
		ИНАЧЕ уп_СостоянияПС.Период
    КОНЕЦ",,,true
59,ВТ_ИзмененияВидаОбязательств_Предв,2,ТипПенсии,уп_СхемаСчета.ТипПенсии,уп_СхемаСчета,ТипПенсии,false
59,ВТ_ИзмененияВидаОбязательств_Предв,3,Состояние,уп_СостоянияПС.Состояние,уп_СостоянияПС,Состояние,false
59,ВТ_ИзмененияВидаОбязательств_Предв,4,ВидОбязательств,"ВЫБОР
		КОГДА ВТ_ПенсионныеСчета.ПенсионныйСчет.ТипПенсионногоСчета = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.ПенсионныйСчетУчастника)
			ТОГДА ВЫБОР
					КОГДА уп_СостоянияПС.Состояние = ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.НакопительныйПериод)
						ТОГДА ""ОДНП""
					КОГДА уп_СостоянияПС.Состояние В (ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.ВыплатнойПериод), ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.НачисленияПриостановлены), ЗНАЧЕНИЕ(Перечисление.уп_СостоянияПС.ВыплатыПриостановлены))
						ТОГДА ВЫБОР
								КОГДА уп_СхемаСчета.ТипПенсии = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.ПожизненныхВыплат)
									ТОГДА ""ОНПП""
								КОГДА уп_СхемаСчета.ТипПенсии = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.СрочныхВыплат)
									ТОГДА ""ОНСП""
								КОГДА уп_СхемаСчета.ТипПенсии = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСхем.ДоИсчерпанияСредствНаСчете)
									ТОГДА ""ОНИП""
							КОНЕЦ
					ИНАЧЕ ""ПНПО""
				КОНЕЦ
		КОГДА ВТ_ПенсионныеСчета.ПенсионныйСчет.ТипПенсионногоСчета = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.ПенсионныйСчетДоговора)
			ТОГДА ""ПНПО""
		КОГДА ВТ_ПенсионныеСчета.ПенсионныйСчет.ТипПенсионногоСчета = ЗНАЧЕНИЕ(Перечисление.уп_ТипыПенсионныхСчетов.СолидарныйПенсионныйСчет)
			ТОГДА ""ОСПС""
		ИНАЧЕ ""Не определен""
	КОНЕЦ",,,true
60,уп_СостоянияПС,0,НомерСчета,НомерСчета,,НомерСчета,false
60,уп_СостоянияПС,1,Период,Период,,Период,false
60,уп_СостоянияПС,2,Состояние,Состояние,,Состояние,false
61,уп_СхемаСчета,0,НомерСчета,НомерСчета,,НомерСчета,false
61,уп_СхемаСчета,1,МИНИМУМ,МИНИМУМ(Период),,,true
61,уп_СхемаСчета,2,ТипПенсии,ТипПенсии,,ТипПенсии,false
62,ВТ_ИзмененияВидаОбязательств,0,ПенсионныйСчет,ВТ_ИзмененияВидаОбязательств_Предв.ПенсионныйСчет,ВТ_ИзмененияВидаОбязательств_Предв,ПенсионныйСчет,false
62,ВТ_ИзмененияВидаОбязательств,1,Период,МИНИМУМ(ВТ_ИзмененияВидаОбязательств_Предв.Период),ВТ_ИзмененияВидаОбязательств_Предв,Период,true
62,ВТ_ИзмененияВидаОбязательств,2,ВидОбязательств,ВТ_ИзмененияВидаОбязательств_Предв.ВидОбязательств,ВТ_ИзмененияВидаОбязательств_Предв,ВидОбязательств,false
63,ВТ_ВидыОбязательств,0,ПенсионныйСчет,ВТ_ВидОбязательствНачало.ПенсионныйСчет,ВТ_ВидОбязательствНачало,ПенсионныйСчет,false
63,ВТ_ВидыОбязательств,1,ВидОбязательств,ВТ_ВидОбязательствНачало.ВидОбязательствВход,ВТ_ВидОбязательствНачало,ВидОбязательствВход,false
63,ВТ_ВидыОбязательств,2,ДатаОпределенияОбязательств,ВТ_ВидОбязательствНачало.ДатаОпределенияОбязательств,ВТ_ВидОбязательствНачало,ДатаОпределенияОбязательств,false
64,Часть_1,0,ПенсионныйСчет,ВТ_ВидОбязательствНачало.ПенсионныйСчет,ВТ_ВидОбязательствНачало,ПенсионныйСчет,false
64,Часть_1,1,ВидОбязательств,ВТ_ВидОбязательствНачало.ВидОбязательствВход,ВТ_ВидОбязательствНачало,ВидОбязательствВход,false
64,Часть_1,2,ДатаОпределенияОбязательств,ВТ_ВидОбязательствНачало.ДатаОпределенияОбязательств,ВТ_ВидОбязательствНачало,ДатаОпределенияОбязательств,false
65,Часть_2,0,ПенсионныйСчет,ВТ_ИзмененияВидаОбязательств.ПенсионныйСчет,ВТ_ИзмененияВидаОбязательств,ПенсионныйСчет,false
65,Часть_2,1,ВидОбязательств,ВТ_ИзмененияВидаОбязательств.ВидОбязательств,ВТ_ИзмененияВидаОбязательств,ВидОбязательств,false
65,Часть_2,2,Период,ВТ_ИзмененияВидаОбязательств.Период,ВТ_ИзмененияВидаОбязательств,Период,false
66,ВТ_ВидыОбязательствДвижение,0,ПенсионныйСчет,ВТ_ВидыОбязательств.ПенсионныйСчет,ВТ_ВидыОбязательств,ПенсионныйСчет,false
66,ВТ_ВидыОбязательствДвижение,1,ВидОбязательств,ВТ_ВидыОбязательств.ВидОбязательств,ВТ_ВидыОбязательств,ВидОбязательств,false
66,ВТ_ВидыОбязательствДвижение,2,ДатаОпределенияОбязательств,МИНИМУМ(ВТ_ВидыОбязательств.ДатаОпределенияОбязательств),ВТ_ВидыОбязательств,ДатаОпределенияОбязательств,true
66,ВТ_ВидыОбязательствДвижение,3,ДатаОкончанияОбязательств,МИНИМУМ(ВТ_ВидыОбязательств_1.ДатаОпределенияОбязательств),ВТ_ВидыОбязательств_1,ДатаОпределенияОбязательств,true
67,ВТ_СчетаТранзитныеВидыОбязательств,0,ПенсионныйСчет,ВТ_ВидыОбязательствДвижение.ПенсионныйСчет,ВТ_ВидыОбязательствДвижение,ПенсионныйСчет,false
68,ВТ_СчетаНеТранзитныеВидыОбязательств,0,ПенсионныйСчет,ВТ_ВидыОбязательствДвижение.ПенсионныйСчет,ВТ_ВидыОбязательствДвижение,ПенсионныйСчет,false
69,ВТ_НеТранзитныеВидыНачалоКонец,0,ПенсионныйСчет,ВТ_ВидыОбязательствДвижение.ПенсионныйСчет,ВТ_ВидыОбязательствДвижение,ПенсионныйСчет,false
69,ВТ_НеТранзитныеВидыНачалоКонец,1,ВидОбязательств,ВТ_ВидыОбязательствДвижение.ВидОбязательств,ВТ_ВидыОбязательствДвижение,ВидОбязательств,false
69,ВТ_НеТранзитныеВидыНачалоКонец,2,ДатаОпределенияОбязательств,ВТ_ВидыОбязательствДвижение.ДатаОпределенияОбязательств,ВТ_ВидыОбязательствДвижение,ДатаОпределенияОбязательств,false
69,ВТ_НеТранзитныеВидыНачалоКонец,3,ДатаОкончанияОбязательств,ВТ_ВидыОбязательствДвижение.ДатаОкончанияОбязательств,ВТ_ВидыОбязательствДвижение,ДатаОкончанияОбязательств,false
70,ВТ_ТранзитныеВидыНачалоКонец,0,ПенсионныйСчет,ВТ_ВидыОбязательствДвижение.ПенсионныйСчет,ВТ_ВидыОбязательствДвижение,ПенсионныйСчет,false
70,ВТ_ТранзитныеВидыНачалоКонец,1,ВидОбязательств,ВТ_ВидыОбязательствДвижение.ВидОбязательств,ВТ_ВидыОбязательствДвижение,ВидОбязательств,false
70,ВТ_ТранзитныеВидыНачалоКонец,2,ДатаОпределенияОбязательств,ВТ_ВидыОбязательствДвижение.ДатаОпределенияОбязательств,ВТ_ВидыОбязательствДвижение,ДатаОпределенияОбязательств,false
70,ВТ_ТранзитныеВидыНачалоКонец,3,ДатаОкончанияОбязательств,ВТ_ВидыОбязательствДвижение.ДатаОкончанияОбязательств,ВТ_ВидыОбязательствДвижение,ДатаОкончанияОбязательств,false
71,ВТ_СторнированныеСуммыТранзитныеВиды,0,ПенсионныйСчет,ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет,ВТ_ТранзитныеВидыНачалоКонец,ПенсионныйСчет,false
71,ВТ_СторнированныеСуммыТранзитныеВиды,1,ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец,ВидОбязательств,false
71,ВТ_СторнированныеСуммыТранзитныеВиды,2,ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец,ДатаОпределенияОбязательств,false
71,ВТ_СторнированныеСуммыТранзитныеВиды,3,ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец,ДатаОкончанияОбязательств,false
71,ВТ_СторнированныеСуммыТранзитныеВиды,4,Пенсия,СУММА(уп_НачисленияПенсий.Сумма),уп_НачисленияПенсий,Сумма,true
71,ВТ_СторнированныеСуммыТранзитныеВиды,5,ВыкупнаяСумма,0,,,true
71,ВТ_СторнированныеСуммыТранзитныеВиды,6,ВыплатаПравопреемникам,0,,,true
72,Часть_1,0,ПенсионныйСчет,ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет,ВТ_ТранзитныеВидыНачалоКонец,ПенсионныйСчет,false
72,Часть_1,1,ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец,ВидОбязательств,false
72,Часть_1,2,ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец,ДатаОпределенияОбязательств,false
72,Часть_1,3,ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец,ДатаОкончанияОбязательств,false
72,Часть_1,4,Пенсия,СУММА(уп_НачисленияПенсий.Сумма),уп_НачисленияПенсий,Сумма,true
72,Часть_1,5,ВыкупнаяСумма,0,,,true
72,Часть_1,6,ВыплатаПравопреемникам,0,,,true
73,Часть_2,0,ПенсионныйСчет,ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет,ВТ_ТранзитныеВидыНачалоКонец,ПенсионныйСчет,false
73,Часть_2,1,ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец,ВидОбязательств,false
73,Часть_2,2,ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец,ДатаОпределенияОбязательств,false
73,Часть_2,3,ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОкончанияОбязательств,ВТ_ТранзитныеВидыНачалоКонец,ДатаОкончанияОбязательств,false
73,Часть_2,4,0,0,,,true
73,Часть_2,5,СУММА,"СУММА(ВЫБОР
		КОГДА уп_ПрочиеНачисления.ТипВыплаты = ЗНАЧЕНИЕ(Перечисление.уп_ТипыВыплат.ВыплатыРасторженцам)
			ТОГДА уп_ПрочиеНачисления.Сумма
		ИНАЧЕ 0
	КОНЕЦ)",,,true
73,Часть_2,6,СУММА,"СУММА(ВЫБОР
		КОГДА уп_ПрочиеНачисления.ТипВыплаты = ЗНАЧЕНИЕ(Перечисление.уп_ТипыВыплат.ВыплатыНаследникам)
			ТОГДА уп_ПрочиеНачисления.Сумма
		ИНАЧЕ 0
	КОНЕЦ)",,,true
74,ВТ_ОстаткиТранзитныеВиды,0,ПенсионныйСчет,ПодЗапрос.ПенсионныйСчет,ПодЗапрос,ПенсионныйСчет,false
74,ВТ_ОстаткиТранзитныеВиды,1,ВидОбязательств,ПодЗапрос.ВидОбязательств,ПодЗапрос,ВидОбязательств,false
74,ВТ_ОстаткиТранзитныеВиды,2,ДатаОпределенияОбязательств,ПодЗапрос.ДатаОпределенияОбязательств,ПодЗапрос,ДатаОпределенияОбязательств,false
74,ВТ_ОстаткиТранзитныеВиды,3,ДатаОкончанияОбязательств,ПодЗапрос.ДатаОкончанияОбязательств,ПодЗапрос,ДатаОкончанияОбязательств,false
74,ВТ_ОстаткиТранзитныеВиды,4,ВхСумма,"ВЫБОР 
		КОГДА ПодЗапрос.ДатаОпределенияОбязательств <= &НачалоПериода
			ТОГДА СУММА(ПодЗапрос.ВхСумма)
		ИНАЧЕ 0 
	КОНЕЦ",,,true
74,ВТ_ОстаткиТранзитныеВиды,5,ИсхСумма,"ВЫБОР
		КОГДА ПодЗапрос.ДатаОкончанияОбязательств ЕСТЬ NULL
			ТОГДА СУММА(ПодЗапрос.ИсхСумма) 
		ИНАЧЕ 0 
	КОНЕЦ",,,true
75,ПодЗапрос,0,ПенсионныйСчет,ВТ_ТранзитныеВидыНачалоКонец.ПенсионныйСчет,ВТ_ТранзитныеВидыНачалоКонец,ПенсионныйСчет,false
75,ПодЗапрос,1,ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ВидОбязательств,ВТ_ТранзитныеВидыНачалоКонец,ВидОбязательств,false
75,ПодЗапрос,2,ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец.ДатаОпределенияОбязательств,ВТ_ТранзитныеВидыНачалоКонец,ДатаОпределенияОбязательств,false
